cod, descricao,
v001,Pessoas alfabetizadas de 7 a 9 anos de idade, do sexo masculino e cor ou raça - branca
v002,Pessoas alfabetizadas de 7 a 9 anos de idade, do sexo masculino e cor ou raça – preta
v003,Pessoas alfabetizadas de 7 a 9 anos de idade, do sexo masculino e cor ou raça – amarela
v004,Pessoas alfabetizadas de 7 a 9 anos de idade, do sexo masculino e cor ou raça – parda
v005,Pessoas alfabetizadas de 7 a 9 anos de idade, do sexo masculino e cor ou raça – indígena
v006,Pessoas alfabetizadas de 10 a 14 anos de idade, do sexo masculino e cor ou raça – branca
v007,Pessoas alfabetizadas de 10 a 14 anos de idade, do sexo masculino e cor ou raça – preta
v008,Pessoas alfabetizadas de 10 a 14 anos de idade, do sexo masculino e cor ou raça – amarela
v009,Pessoas alfabetizadas de 10 a 14 anos de idade, do sexo masculino e cor ou raça – parda
v010,Pessoas alfabetizadas de 10 a 14 anos de idade, do sexo masculino e cor ou raça - indígena
v011,Pessoas alfabetizadas de 15 a 19 anos de idade, do sexo masculino e cor ou raça – branca
v012,Pessoas alfabetizadas de 15 a 19 anos de idade, do sexo masculino e cor ou raça – preta
v013,Pessoas alfabetizadas de 15 a 19 anos de idade, do sexo masculino e cor ou raça – amarela
v014,Pessoas alfabetizadas de 15 a 19 anos de idade, do sexo masculino e cor ou raça – parda
v015,Pessoas alfabetizadas de 15 a 19 anos de idade, do sexo masculino e cor ou raça - indígena
v016,Pessoas alfabetizadas de 15 a 17 anos de idade, do sexo masculino e cor ou raça – branca
v017,Pessoas alfabetizadas de 15 a 17 anos de idade, do sexo masculino e cor ou raça – preta
v018,Pessoas alfabetizadas de 15 a 17 anos de idade, do sexo masculino e cor ou raça – amarela
v019,Pessoas alfabetizadas de 15 a 17 anos de idade, do sexo masculino e cor ou raça – parda
v020,Pessoas alfabetizadas de 15 a 17 anos de idade, do sexo masculino e cor ou raça - indígena
v021,Pessoas alfabetizadas de 18 ou 19 anos de idade, do sexo masculino e cor ou raça – branca
